test_id,chapter_type,difficulty,question_type,model,workflow,bleu,rouge_l,bertscore,step_correctness,latency_sec,iterations,n_retrieves,self_eval_score,mean_relevance
73,geometry,hard,proof,gpt-4o,self_rag,0.0345,0.1208,0.6998,1.0,4.807,1,1,5.0,
75,geometry,hard,proof,gpt-4o,self_rag,0.0042,0.0972,0.7349,0.8,11.865,2,2,5.0,
79,algebra,hard,proof,gpt-4o,self_rag,0.0031,0.0738,0.7045,1.0,5.407,1,1,5.0,
81,geometry,hard,proof,gpt-4o,self_rag,0.0453,0.1339,0.739,1.0,17.776,3,3,5.0,
82,algebra,hard,conceptual,gpt-4o,self_rag,0.0501,0.2,0.783,0.8,6.619,1,1,5.0,
83,algebra,hard,proof,gpt-4o,self_rag,0.0028,0.0308,0.6885,1.0,25.671,3,3,4.0,
84,geometry,hard,conceptual,gpt-4o,self_rag,0.0589,0.2135,0.7839,0.8,6.106,1,1,4.0,
90,geometry,hard,proof,gpt-4o,self_rag,0.0294,0.1069,0.6941,1.0,5.456,1,1,5.0,
93,geometry,hard,proof,gpt-4o,self_rag,0.0083,0.1455,0.7041,0.8,22.397,3,3,2.0,
94,geometry,hard,proof,gpt-4o,self_rag,0.008,0.1481,0.7117,1.0,4.909,1,1,4.0,
96,algebra,hard,proof,gpt-4o,self_rag,0.0052,0.0831,0.7325,1.0,22.473,3,3,3.0,
97,geometry,hard,proof,gpt-4o,self_rag,0.0085,0.0907,0.7073,1.0,7.536,1,1,5.0,
6,algebra,hard,proof,gpt-4o,crag,0.0028,0.0773,0.7176,0.8,18.125,1,2,,0.0
7,geometry,hard,proof,gpt-4o,crag,0.0152,0.1115,0.7029,0.8,16.663,1,2,,0.04
10,geometry,hard,proof,gpt-4o,crag,0.0028,0.0837,0.6621,1.0,15.186,1,2,,0.02
15,geometry,hard,proof,gpt-4o,crag,0.0051,0.1063,0.7154,0.8,19.07,1,2,,0.1
25,geometry,hard,conceptual,gpt-4o,crag,0.1872,0.3565,0.8242,0.8,14.181,1,1,,0.6399999999999999
28,geometry,hard,proof,gpt-4o,crag,0.0112,0.1004,0.7148,1.0,20.743,1,2,,0.38
6,algebra,hard,proof,claude-opus,static_rag,0.0035,0.0906,0.7589,1.0,9.53,1,1,,
7,geometry,hard,proof,claude-opus,static_rag,0.0169,0.0739,0.7246,1.0,12.128,1,1,,
10,geometry,hard,proof,claude-opus,static_rag,0.0016,0.0769,0.6727,0.8,9.906,1,1,,
15,geometry,hard,proof,claude-opus,static_rag,0.0103,0.1145,0.7297,1.0,12.747,1,1,,
25,geometry,hard,conceptual,claude-opus,static_rag,0.1527,0.3223,0.8256,1.0,15.187,1,1,,
28,geometry,hard,proof,claude-opus,static_rag,0.016,0.0784,0.7155,1.0,10.296,1,1,,
30,geometry,hard,computational,claude-opus,static_rag,0.0052,0.1044,0.7211,1.0,15.22,1,1,,
36,geometry,hard,proof,claude-opus,static_rag,0.0294,0.147,0.7608,1.0,14.159,1,1,,
37,other,hard,computational,claude-opus,static_rag,0.0081,0.1318,0.6804,1.0,18.74,1,1,,
38,geometry,hard,proof,claude-opus,static_rag,0.1131,0.3548,0.7875,1.0,14.34,1,1,,
39,geometry,hard,conceptual,claude-opus,static_rag,0.0222,0.1528,0.7255,0.8,17.93,1,1,,
42,geometry,hard,proof,claude-opus,static_rag,0.0215,0.2119,0.7247,1.0,17.923,1,1,,
45,algebra,hard,conceptual,claude-opus,static_rag,0.0602,0.2909,0.7595,1.0,8.388,1,1,,
46,geometry,hard,proof,claude-opus,static_rag,0.0078,0.0872,0.7108,1.0,10.948,1,1,,
47,geometry,hard,proof,claude-opus,static_rag,0.0169,0.0699,0.7261,1.0,15.366,1,1,,
50,geometry,hard,proof,claude-opus,static_rag,0.0084,0.0905,0.7055,1.0,17.312,1,1,,
51,geometry,hard,conceptual,claude-opus,static_rag,0.1101,0.2803,0.7665,1.0,15.467,1,1,,
56,geometry,hard,proof,claude-opus,static_rag,0.0337,0.1746,0.7619,1.0,9.35,1,1,,
62,geometry,hard,proof,claude-opus,static_rag,0.016,0.0733,0.7233,0.8,10.838,1,1,,
66,geometry,hard,proof,claude-opus,static_rag,0.0248,0.1362,0.7202,0.8,11.783,1,1,,
67,geometry,hard,proof,claude-opus,static_rag,0.0176,0.103,0.7276,1.0,13.753,1,1,,
73,geometry,hard,proof,claude-opus,static_rag,0.0322,0.1081,0.7029,1.0,11.843,1,1,,
75,geometry,hard,proof,claude-opus,static_rag,0.0093,0.0625,0.7236,1.0,12.569,1,1,,
79,algebra,hard,proof,claude-opus,static_rag,0.003,0.062,0.7239,1.0,8.877,1,1,,
81,geometry,hard,proof,claude-opus,static_rag,0.0373,0.122,0.7236,1.0,9.937,1,1,,
82,algebra,hard,conceptual,claude-opus,static_rag,0.0629,0.2305,0.8043,1.0,14.068,1,1,,
83,algebra,hard,proof,claude-opus,static_rag,0.0058,0.0249,0.6785,0.8,12.567,1,1,,
84,geometry,hard,conceptual,claude-opus,static_rag,0.036,0.138,0.7683,1.0,15.725,1,1,,
90,geometry,hard,proof,claude-opus,static_rag,0.0351,0.1272,0.7037,1.0,10.602,1,1,,
93,geometry,hard,proof,claude-opus,static_rag,0.0376,0.1871,0.7247,0.8,11.114,1,1,,
94,geometry,hard,proof,claude-opus,static_rag,0.0206,0.1244,0.7111,1.0,8.284,1,1,,
96,algebra,hard,proof,claude-opus,static_rag,0.0035,0.106,0.7255,1.0,9.707,1,1,,
97,geometry,hard,proof,claude-opus,static_rag,0.0194,0.0867,0.7523,0.8,12.707,1,1,,
6,algebra,hard,proof,claude-opus,self_rag,0.0035,0.0927,0.7505,1.0,12.023,1,1,5.0,
7,geometry,hard,proof,claude-opus,self_rag,0.0167,0.08,0.7128,1.0,16.904,1,1,4.0,
10,geometry,hard,proof,claude-opus,self_rag,0.0026,0.0824,0.6686,1.0,12.585,1,1,4.0,
15,geometry,hard,proof,claude-opus,self_rag,0.012,0.1053,0.7193,1.0,54.942,3,3,3.0,
25,geometry,hard,conceptual,claude-opus,self_rag,0.1539,0.3908,0.828,0.8,18.339,1,1,4.0,
28,geometry,hard,proof,claude-opus,self_rag,0.0145,0.0719,0.699,0.8,12.14,1,1,5.0,
30,geometry,hard,computational,claude-opus,self_rag,0.009,0.1201,0.7043,0.8,18.287,1,1,4.0,
36,geometry,hard,proof,claude-opus,self_rag,0.0461,0.186,0.778,1.0,50.861,3,3,3.0,
37,other,hard,computational,claude-opus,self_rag,0.0099,0.1203,0.6894,1.0,58.615,3,3,3.0,
38,geometry,hard,proof,claude-opus,self_rag,0.0928,0.3447,0.7865,1.0,18.337,1,1,4.0,
39,geometry,hard,conceptual,claude-opus,self_rag,0.0225,0.1433,0.7255,0.8,39.146,2,2,4.0,
42,geometry,hard,proof,claude-opus,self_rag,0.0243,0.2048,0.7092,0.8,21.9,1,1,4.0,
45,algebra,hard,conceptual,claude-opus,self_rag,0.0601,0.2873,0.7665,0.8,10.445,1,1,5.0,
46,geometry,hard,proof,claude-opus,self_rag,0.0086,0.0576,0.7019,1.0,37.188,2,2,4.0,
47,geometry,hard,proof,claude-opus,self_rag,0.011,0.0793,0.7035,1.0,56.24,3,3,3.0,
50,geometry,hard,proof,claude-opus,self_rag,0.0096,0.1089,0.7076,1.0,57.26,3,3,2.0,
51,geometry,hard,conceptual,claude-opus,self_rag,0.0949,0.2591,0.7771,0.8,18.919,1,1,4.0,
56,geometry,hard,proof,claude-opus,self_rag,0.0311,0.1581,0.7649,1.0,15.914,1,1,4.0,
62,geometry,hard,proof,claude-opus,self_rag,0.0151,0.0726,0.7167,0.8,44.932,3,3,2.0,
66,geometry,hard,proof,claude-opus,self_rag,0.0228,0.1325,0.7268,0.8,29.552,2,2,5.0,
67,geometry,hard,proof,claude-opus,self_rag,0.025,0.1119,0.7255,1.0,18.139,1,1,4.0,
73,geometry,hard,proof,claude-opus,self_rag,0.0369,0.1096,0.7018,1.0,12.909,1,1,5.0,
75,geometry,hard,proof,claude-opus,self_rag,0.0054,0.0746,0.7267,1.0,40.889,3,3,3.0,
79,algebra,hard,proof,claude-opus,self_rag,0.0031,0.063,0.7241,1.0,12.165,1,1,5.0,
81,geometry,hard,proof,claude-opus,self_rag,0.0308,0.1478,0.7061,1.0,12.254,1,1,5.0,
82,algebra,hard,conceptual,claude-opus,self_rag,0.0531,0.1986,0.7791,1.0,15.901,1,1,4.0,
83,algebra,hard,proof,claude-opus,self_rag,0.0054,0.0254,0.678,1.0,53.182,3,3,3.0,
84,geometry,hard,conceptual,claude-opus,self_rag,0.0372,0.1439,0.7633,1.0,19.724,1,1,4.0,
90,geometry,hard,proof,claude-opus,self_rag,0.0363,0.1264,0.6993,1.0,12.938,1,1,5.0,
93,geometry,hard,proof,claude-opus,self_rag,0.037,0.1908,0.7243,0.8,13.119,1,1,5.0,
94,geometry,hard,proof,claude-opus,self_rag,0.0204,0.1221,0.7044,0.8,39.19,3,3,3.0,
96,algebra,hard,proof,claude-opus,self_rag,0.0034,0.1039,0.7255,1.0,13.145,1,1,5.0,
97,geometry,hard,proof,claude-opus,self_rag,0.0223,0.1042,0.7547,0.8,15.721,1,1,5.0,
6,algebra,hard,proof,claude-opus,crag,0.003,0.0821,0.7411,1.0,40.864,1,2,,0.13999999999999999
7,geometry,hard,proof,claude-opus,crag,0.0183,0.0959,0.7348,0.8,43.813,1,2,,0.4
10,geometry,hard,proof,claude-opus,crag,0.003,0.0778,0.6596,0.8,37.379,1,2,,0.22000000000000003
15,geometry,hard,proof,claude-opus,crag,0.0086,0.0725,0.7091,1.0,43.249,1,2,,0.1
25,geometry,hard,conceptual,claude-opus,crag,0.129,0.3124,0.8114,0.8,26.961,1,1,,0.6399999999999999
28,geometry,hard,proof,claude-opus,crag,0.0147,0.0952,0.7058,1.0,40.45,1,2,,0.6
30,geometry,hard,computational,claude-opus,crag,0.0103,0.129,0.6937,0.8,44.039,1,2,,0.38
36,geometry,hard,proof,claude-opus,crag,0.0284,0.1614,0.7233,1.0,41.616,1,2,,0.36
37,other,hard,computational,claude-opus,crag,0.008,0.1315,0.6847,1.0,30.719,1,1,,0.61
38,geometry,hard,proof,claude-opus,crag,0.1672,0.4524,0.7983,1.0,50.922,1,2,,0.12000000000000002
39,geometry,hard,conceptual,claude-opus,crag,0.0272,0.1489,0.7193,0.8,47.089,1,2,,0.36000000000000004
42,geometry,hard,proof,claude-opus,crag,0.0232,0.1912,0.704,1.0,55.413,1,2,,0.5
45,algebra,hard,conceptual,claude-opus,crag,0.0601,0.2873,0.7665,0.8,22.291,1,1,,0.8200000000000001
46,geometry,hard,proof,claude-opus,crag,0.0092,0.0792,0.6983,1.0,45.712,1,2,,0.15999999999999998
47,geometry,hard,proof,claude-opus,crag,0.0112,0.0654,0.7116,0.8,43.213,1,2,,0.41999999999999993
50,geometry,hard,proof,claude-opus,crag,0.01,0.0937,0.6983,1.0,45.956,1,2,,0.36
51,geometry,hard,conceptual,claude-opus,crag,0.0871,0.2445,0.7871,0.8,27.52,1,1,,0.6799999999999999
56,geometry,hard,proof,claude-opus,crag,0.0296,0.1603,0.7633,1.0,41.978,1,2,,0.32
62,geometry,hard,proof,claude-opus,crag,0.015,0.0696,0.7074,1.0,40.226,1,2,,0.08
66,geometry,hard,proof,claude-opus,crag,0.0209,0.129,0.721,1.0,47.587,1,2,,0.4
67,geometry,hard,proof,claude-opus,crag,0.0196,0.1109,0.7273,1.0,50.296,1,2,,0.5799999999999998
73,geometry,hard,proof,claude-opus,crag,0.0339,0.1105,0.7098,1.0,42.513,1,2,,0.34
75,geometry,hard,proof,claude-opus,crag,0.0053,0.0735,0.7312,1.0,38.59,1,2,,0.4600000000000001
79,algebra,hard,proof,claude-opus,crag,0.0029,0.0588,0.7206,1.0,41.164,1,2,,0.21999999999999997
81,geometry,hard,proof,claude-opus,crag,0.0414,0.1611,0.7104,1.0,35.301,1,2,,0.26
82,algebra,hard,conceptual,claude-opus,crag,0.0463,0.186,0.7819,0.8,38.66,1,2,,0.25999999999999995
83,algebra,hard,proof,claude-opus,crag,0.0053,0.0203,0.6778,0.8,29.399,1,1,,0.6
84,geometry,hard,conceptual,claude-opus,crag,0.0367,0.1504,0.7647,1.0,29.253,1,1,,0.64
90,geometry,hard,proof,claude-opus,crag,0.0194,0.1022,0.6903,1.0,41.993,1,2,,0.4
93,geometry,hard,proof,claude-opus,crag,0.0343,0.1653,0.7454,1.0,49.615,1,2,,0.20000000000000004
94,geometry,hard,proof,claude-opus,crag,0.0203,0.1316,0.7232,1.0,36.856,1,2,,0.42000000000000004
96,algebra,hard,proof,claude-opus,crag,0.0037,0.1135,0.7249,1.0,44.747,1,2,,0.27999999999999997
97,geometry,hard,proof,claude-opus,crag,0.0183,0.0914,0.7486,1.0,44.287,1,2,,0.32
30,geometry,hard,computational,gpt-4o,crag,0.0161,0.1145,0.7363,0.8,27.16,1,2,,0.34
36,geometry,hard,proof,gpt-4o,crag,0.0046,0.1433,0.7082,0.8,22.194,1,2,,0.02
37,other,hard,computational,gpt-4o,crag,0.0111,0.1347,0.6884,0.8,15.929,1,1,,0.64
38,geometry,hard,proof,gpt-4o,crag,0.3595,0.5718,0.8274,0.8,20.974,1,2,,0.58
39,geometry,hard,conceptual,gpt-4o,crag,0.0443,0.1675,0.7866,1.0,21.105,1,2,,0.5800000000000001
42,geometry,hard,proof,gpt-4o,crag,0.0588,0.2091,0.777,0.6,22.05,1,2,,0.3
45,algebra,hard,conceptual,gpt-4o,crag,0.0693,0.2667,0.7806,0.8,12.306,1,1,,0.7
46,geometry,hard,proof,gpt-4o,crag,0.0052,0.0983,0.6858,0.8,20.407,1,2,,0.0
47,geometry,hard,proof,gpt-4o,crag,0.0296,0.1279,0.7165,0.8,19.978,1,2,,0.26000000000000006
50,geometry,hard,proof,gpt-4o,crag,0.0082,0.1294,0.6965,0.6,18.412,1,2,,0.02
51,geometry,hard,conceptual,gpt-4o,crag,0.1208,0.297,0.8133,0.6,19.633,1,1,,0.6399999999999999
56,geometry,hard,proof,gpt-4o,crag,0.0401,0.1746,0.7664,1.0,19.194,1,2,,0.0
62,geometry,hard,proof,gpt-4o,crag,0.0129,0.1039,0.7125,0.6,19.533,1,2,,0.0
66,geometry,hard,proof,gpt-4o,crag,0.0119,0.1399,0.7216,1.0,19.165,1,2,,0.02
67,geometry,hard,proof,gpt-4o,crag,0.0246,0.1616,0.7572,0.8,18.3,1,2,,0.44000000000000006
73,geometry,hard,proof,gpt-4o,crag,0.0344,0.1231,0.6981,1.0,19.363,1,2,,0.38
75,geometry,hard,proof,gpt-4o,crag,0.0036,0.0806,0.728,0.8,18.908,1,2,,0.1
79,algebra,hard,proof,gpt-4o,crag,0.0033,0.0763,0.7048,1.0,18.924,1,2,,0.0
81,geometry,hard,proof,gpt-4o,crag,0.0304,0.1024,0.7183,1.0,20.206,1,2,,0.15999999999999998
82,algebra,hard,conceptual,gpt-4o,crag,0.0496,0.2081,0.7853,0.8,17.842,1,2,,0.22000000000000003
83,algebra,hard,proof,gpt-4o,crag,0.003,0.0202,0.6735,1.0,22.483,1,2,,0.16
84,geometry,hard,conceptual,gpt-4o,crag,0.037,0.1941,0.7557,0.8,22.71,1,2,,0.5800000000000001
90,geometry,hard,proof,gpt-4o,crag,0.0334,0.1185,0.6973,1.0,19.054,1,2,,0.38
93,geometry,hard,proof,gpt-4o,crag,0.0033,0.1182,0.6876,1.0,20.298,1,2,,0.0
94,geometry,hard,proof,gpt-4o,crag,0.0079,0.1281,0.6918,0.8,18.945,1,2,,0.12
96,algebra,hard,proof,gpt-4o,crag,0.0048,0.0808,0.7271,0.8,28.034,1,2,,0.02
97,geometry,hard,proof,gpt-4o,crag,0.0041,0.0737,0.6996,1.0,21.046,1,2,,0.13999999999999999
