test_id,chapter_type,difficulty,question_type,embedding,bleu,rouge_l,bertscore,step_correctness,mean_sim,latency_sec,n_contexts
9,algebra,easy,computational,BGE-M3 (New),0.0177,0.0502,0.7336,0.8,0.8645,8.223,5
10,geometry,hard,proof,BGE-M3 (New),0.0029,0.0729,0.6601,0.8,0.7685,5.305,5
11,geometry,medium,computational,BGE-M3 (New),0.0316,0.1643,0.6987,0.8,0.8886,5.785,5
12,word_problems,medium,computational,BGE-M3 (New),0.0135,0.1908,0.7056,0.8,0.8922,10.89,5
13,algebra,easy,conceptual,BGE-M3 (New),0.0095,0.0713,0.7049,0.8,0.7848,8.5,5
14,algebra,medium,computational,BGE-M3 (New),0.3179,0.3337,0.8422,0.8,0.8621,6.448,5
15,geometry,hard,proof,BGE-M3 (New),0.0038,0.1092,0.7111,0.8,0.8127,15.077,5
16,word_problems,easy,conceptual,BGE-M3 (New),0.0011,0.0159,0.5939,1.0,0.7303,6.501,5
17,other,easy,conceptual,BGE-M3 (New),0.0027,0.0424,0.604,1.0,0.807,4.381,5
18,geometry,easy,computational,BGE-M3 (New),0.0269,0.1241,0.6676,0.8,0.8567,3.908,5
19,algebra,medium,computational,BGE-M3 (New),0.0074,0.1238,0.7165,1.0,0.8638,8.902,5
0,geometry,medium,computational,MiniLM-L6 (384d),0.0596,0.2208,0.7791,1.0,0.8718,11.139,5
1,algebra,medium,computational,MiniLM-L6 (384d),0.0052,0.0769,0.6525,1.0,0.7464,6.239,5
2,other,medium,computational,MiniLM-L6 (384d),0.0272,0.2465,0.7431,1.0,0.8294,9.268,5
3,other,easy,conceptual,MiniLM-L6 (384d),0.0048,0.0195,0.6551,0.8,0.719,5.536,5
4,geometry,easy,conceptual,MiniLM-L6 (384d),0.0043,0.029,0.5666,0.1,0.6038,2.99,5
5,other,easy,conceptual,MiniLM-L6 (384d),0.0033,0.0382,0.6283,0.8,0.6506,5.821,5
6,algebra,hard,proof,MiniLM-L6 (384d),0.0036,0.0823,0.7185,1.0,0.7619,7.647,5
7,geometry,hard,proof,MiniLM-L6 (384d),0.0112,0.1126,0.6911,1.0,0.7983,8.121,5
8,geometry,easy,computational,MiniLM-L6 (384d),0.0262,0.125,0.6976,1.0,0.8026,4.723,5
9,algebra,easy,computational,MiniLM-L6 (384d),0.0221,0.0597,0.746,0.8,0.7826,11.963,5
10,geometry,hard,proof,MiniLM-L6 (384d),0.0029,0.0773,0.649,0.6,0.7574,5.137,5
11,geometry,medium,computational,MiniLM-L6 (384d),0.0279,0.142,0.7025,1.0,0.8873,5.486,5
12,word_problems,medium,computational,MiniLM-L6 (384d),0.014,0.1915,0.7094,0.8,0.8772,9.351,5
13,algebra,easy,conceptual,MiniLM-L6 (384d),0.01,0.0789,0.6953,0.8,0.7272,8.337,5
14,algebra,medium,computational,MiniLM-L6 (384d),0.2886,0.3157,0.8437,0.8,0.7829,7.104,5
15,geometry,hard,proof,MiniLM-L6 (384d),0.0054,0.1153,0.7261,0.8,0.7604,7.835,5
16,word_problems,easy,conceptual,MiniLM-L6 (384d),0.001,0.0103,0.6186,1.0,0.6097,5.027,5
17,other,easy,conceptual,MiniLM-L6 (384d),0.0029,0.0408,0.5961,0.8,0.7008,4.73,5
18,geometry,easy,computational,MiniLM-L6 (384d),0.0286,0.1273,0.67,0.8,0.8679,4.126,5
19,algebra,medium,computational,MiniLM-L6 (384d),0.0047,0.0872,0.7048,0.8,0.779,7.946,5
0,geometry,medium,computational,BGE-M3 (1024d),0.0637,0.2491,0.7778,0.8,0.8947,8.446,5
1,algebra,medium,computational,BGE-M3 (1024d),0.0053,0.0927,0.6519,1.0,0.7965,6.046,5
2,other,medium,computational,BGE-M3 (1024d),0.025,0.2097,0.736,0.8,0.8734,11.562,5
3,other,easy,conceptual,BGE-M3 (1024d),0.005,0.0191,0.6514,0.8,0.8025,5.261,5
4,geometry,easy,conceptual,BGE-M3 (1024d),0.0016,0.0104,0.5608,1.0,0.7275,5.007,5
5,other,easy,conceptual,BGE-M3 (1024d),0.003,0.0504,0.6383,0.8,0.7533,75.332,5
6,algebra,hard,proof,BGE-M3 (1024d),0.0035,0.0701,0.7161,0.8,0.796,8.997,5
7,geometry,hard,proof,BGE-M3 (1024d),0.0112,0.1273,0.693,0.8,0.8175,5.102,5
8,geometry,easy,computational,BGE-M3 (1024d),0.0315,0.1395,0.7152,0.8,0.8247,4.746,5
9,algebra,easy,computational,BGE-M3 (1024d),0.0237,0.0619,0.7336,0.8,0.8645,7.349,5
10,geometry,hard,proof,BGE-M3 (1024d),0.003,0.0703,0.6708,0.8,0.7685,4.156,5
11,geometry,medium,computational,BGE-M3 (1024d),0.029,0.1325,0.7019,1.0,0.8886,5.167,5
12,word_problems,medium,computational,BGE-M3 (1024d),0.1262,0.3283,0.7829,0.8,0.8922,8.955,5
13,algebra,easy,conceptual,BGE-M3 (1024d),0.0118,0.0885,0.6959,0.8,0.7848,5.529,5
14,algebra,medium,computational,BGE-M3 (1024d),0.2944,0.3298,0.8304,0.8,0.8621,4.709,5
15,geometry,hard,proof,BGE-M3 (1024d),0.0055,0.1254,0.7016,0.8,0.8127,4.84,5
16,word_problems,easy,conceptual,BGE-M3 (1024d),0.0079,0.0424,0.6349,1.0,0.7303,7.825,5
17,other,easy,conceptual,BGE-M3 (1024d),0.0046,0.0429,0.6029,0.8,0.807,4.224,5
18,geometry,easy,computational,BGE-M3 (1024d),0.0266,0.1452,0.6699,0.8,0.8567,3.881,5
19,algebra,medium,computational,BGE-M3 (1024d),0.0073,0.1166,0.7199,1.0,0.8638,24.761,5
0,geometry,medium,computational,E5-Large (1024d),0.0314,0.1949,0.7624,0.8,0.9505,8.23,5
1,algebra,medium,computational,E5-Large (1024d),0.0041,0.0516,0.659,0.8,0.9202,11.102,5
2,other,medium,computational,E5-Large (1024d),0.0265,0.2602,0.7372,0.8,0.9441,9.333,5
3,other,easy,conceptual,E5-Large (1024d),0.0043,0.0171,0.6615,1.0,0.9148,6.718,5
4,geometry,easy,conceptual,E5-Large (1024d),0.0014,0.0107,0.5433,0.8,0.8798,8.257,5
5,other,easy,conceptual,E5-Large (1024d),0.0036,0.0511,0.6455,0.8,0.9065,6.801,5
6,algebra,hard,proof,E5-Large (1024d),0.0031,0.0619,0.7211,1.0,0.9216,9.002,5
7,geometry,hard,proof,E5-Large (1024d),0.0142,0.1273,0.7169,1.0,0.9258,5.381,5
8,geometry,easy,computational,E5-Large (1024d),0.0207,0.1223,0.6921,1.0,0.9317,5.444,5
9,algebra,easy,computational,E5-Large (1024d),0.0218,0.0529,0.7468,0.8,0.9507,7.991,5
10,geometry,hard,proof,E5-Large (1024d),0.0029,0.08,0.6509,0.8,0.9159,5.37,5
11,geometry,medium,computational,E5-Large (1024d),0.0228,0.1122,0.6999,1.0,0.9477,7.491,5
12,word_problems,medium,computational,E5-Large (1024d),0.1436,0.3926,0.7712,0.8,0.9475,10.012,5
13,algebra,easy,conceptual,E5-Large (1024d),0.0096,0.0751,0.7071,0.8,0.9118,8.65,5
14,algebra,medium,computational,E5-Large (1024d),0.2853,0.3442,0.8303,1.0,0.9228,6.835,5
15,geometry,hard,proof,E5-Large (1024d),0.0062,0.1381,0.7162,0.8,0.9263,6.298,5
16,word_problems,easy,conceptual,E5-Large (1024d),0.0085,0.042,0.6693,0.8,0.8905,8.3,5
17,other,easy,conceptual,E5-Large (1024d),0.0027,0.0413,0.608,1.0,0.9199,6.473,5
18,geometry,easy,computational,E5-Large (1024d),0.0297,0.1269,0.6786,0.8,0.9544,4.878,5
19,algebra,medium,computational,E5-Large (1024d),0.0084,0.1193,0.7161,0.8,0.9319,8.936,5
