test_id,chapter_type,difficulty,question_type,model,setting,bleu,rouge_l,bertscore,step_correctness,latency_sec,n_contexts
16,word_problems,easy,conceptual,gpt-4o,RAG,0.0011,0.0181,0.6429,1.0,5.703,5
17,other,easy,conceptual,gpt-4o,RAG,0.0024,0.0375,0.5925,1.0,5.241,5
18,geometry,easy,computational,gpt-4o,RAG,0.0264,0.1313,0.6674,1.0,4.22,5
19,algebra,medium,computational,gpt-4o,RAG,0.0067,0.1114,0.7142,0.8,7.552,5
0,geometry,medium,computational,claude-opus,Baseline,0.0188,0.1811,0.7385,0.8,12.7,0
1,algebra,medium,computational,claude-opus,Baseline,0.0042,0.0554,0.6643,1.0,11.664,0
2,other,medium,computational,claude-opus,Baseline,0.0082,0.2177,0.7582,0.8,10.818,0
3,other,easy,conceptual,claude-opus,Baseline,0.0066,0.0297,0.6953,1.0,7.721,0
4,geometry,easy,conceptual,claude-opus,Baseline,0.0022,0.0154,0.5808,0.8,8.85,0
5,other,easy,conceptual,claude-opus,Baseline,0.0022,0.041,0.5856,0.8,10.656,0
6,algebra,hard,proof,claude-opus,Baseline,0.0032,0.0846,0.7351,1.0,9.977,0
7,geometry,hard,proof,claude-opus,Baseline,0.0121,0.0771,0.721,1.0,13.711,0
8,geometry,easy,computational,claude-opus,Baseline,0.0205,0.1429,0.6802,1.0,6.414,0
9,algebra,easy,computational,claude-opus,Baseline,0.0211,0.0577,0.7569,1.0,11.592,0
10,geometry,hard,proof,claude-opus,Baseline,0.0029,0.0741,0.6582,1.0,12.307,0
11,geometry,medium,computational,claude-opus,Baseline,0.0234,0.1391,0.7023,1.0,7.529,0
12,word_problems,medium,computational,claude-opus,Baseline,0.0428,0.2407,0.7352,1.0,11.289,0
13,algebra,easy,conceptual,claude-opus,Baseline,0.0058,0.0771,0.7027,1.0,13.422,0
14,algebra,medium,computational,claude-opus,Baseline,0.1965,0.3075,0.7987,1.0,10.647,0
15,geometry,hard,proof,claude-opus,Baseline,0.0119,0.0732,0.7022,1.0,12.196,0
16,word_problems,easy,conceptual,claude-opus,Baseline,0.0022,0.0415,0.6399,1.0,12.406,0
17,other,easy,conceptual,claude-opus,Baseline,0.0016,0.0311,0.5965,1.0,7.085,0
18,geometry,easy,computational,claude-opus,Baseline,0.0139,0.1073,0.663,1.0,6.16,0
19,algebra,medium,computational,claude-opus,Baseline,0.0155,0.1168,0.7189,1.0,10.502,0
0,geometry,medium,computational,claude-opus,RAG,0.0137,0.2077,0.7823,0.8,12.136,5
1,algebra,medium,computational,claude-opus,RAG,0.0058,0.0719,0.6707,1.0,11.201,5
2,other,medium,computational,claude-opus,RAG,0.0277,0.2574,0.775,1.0,11.708,5
3,other,easy,conceptual,claude-opus,RAG,0.0065,0.026,0.6786,1.0,9.441,5
4,geometry,easy,conceptual,claude-opus,RAG,0.0047,0.0194,0.5967,1.0,11.215,5
5,other,easy,conceptual,claude-opus,RAG,0.0038,0.0465,0.6028,0.8,9.88,5
6,algebra,hard,proof,claude-opus,RAG,0.0028,0.0789,0.7413,1.0,10.588,5
7,geometry,hard,proof,claude-opus,RAG,0.0093,0.0604,0.7167,1.0,18.178,5
8,geometry,easy,computational,claude-opus,RAG,0.0491,0.1833,0.7092,1.0,6.829,5
9,algebra,easy,computational,claude-opus,RAG,0.0221,0.0568,0.7641,1.0,12.553,5
10,geometry,hard,proof,claude-opus,RAG,0.0013,0.0692,0.6569,1.0,10.964,5
11,geometry,medium,computational,claude-opus,RAG,0.0238,0.1373,0.7108,1.0,7.939,5
12,word_problems,medium,computational,claude-opus,RAG,0.0321,0.2353,0.7222,0.8,10.885,5
13,algebra,easy,conceptual,claude-opus,RAG,0.0105,0.0779,0.6847,0.8,12.815,5
14,algebra,medium,computational,claude-opus,RAG,0.1901,0.3035,0.8059,1.0,11.906,5
15,geometry,hard,proof,claude-opus,RAG,0.0097,0.1047,0.7202,1.0,13.25,5
16,word_problems,easy,conceptual,claude-opus,RAG,0.0015,0.0258,0.6404,0.8,15.313,5
17,other,easy,conceptual,claude-opus,RAG,0.0094,0.0345,0.6461,1.0,10.973,5
18,geometry,easy,computational,claude-opus,RAG,0.0341,0.1684,0.6795,1.0,5.777,5
19,algebra,medium,computational,claude-opus,RAG,0.0157,0.1191,0.7393,1.0,12.419,5
0,geometry,medium,computational,qwen2-math,Baseline,0.0271,0.1387,0.7555,1.0,30.701,0
1,algebra,medium,computational,qwen2-math,Baseline,0.0073,0.0568,0.6545,1.0,12.83,0
2,other,medium,computational,qwen2-math,Baseline,0.0038,0.1651,0.7444,1.0,37.107,0
3,other,easy,conceptual,qwen2-math,Baseline,0.0057,0.0254,0.6434,1.0,9.018,0
4,geometry,easy,conceptual,qwen2-math,Baseline,0.0051,0.0331,0.6478,0.3,4.419,0
5,other,easy,conceptual,qwen2-math,Baseline,0.0036,0.0514,0.6215,1.0,13.957,0
6,algebra,hard,proof,qwen2-math,Baseline,0.0024,0.0644,0.7236,0.85,15.848,0
7,geometry,hard,proof,qwen2-math,Baseline,0.0029,0.0602,0.6961,1.0,13.046,0
8,geometry,easy,computational,qwen2-math,Baseline,0.023,0.1124,0.6963,1.0,8.045,0
9,algebra,easy,computational,qwen2-math,Baseline,0.02,0.0518,0.7221,1.0,15.325,0
10,geometry,hard,proof,qwen2-math,Baseline,0.0026,0.0733,0.6454,1.0,10.061,0
11,geometry,medium,computational,qwen2-math,Baseline,0.0201,0.1057,0.7126,1.0,14.514,0
12,word_problems,medium,computational,qwen2-math,Baseline,0.0758,0.2408,0.7667,0.8,34.93,0
13,algebra,easy,conceptual,qwen2-math,Baseline,0.0101,0.0819,0.687,1.0,13.955,0
14,algebra,medium,computational,qwen2-math,Baseline,0.1669,0.2922,0.8174,1.0,15.155,0
15,geometry,hard,proof,qwen2-math,Baseline,0.0016,0.0545,0.6957,1.0,16.583,0
16,word_problems,easy,conceptual,qwen2-math,Baseline,0.0039,0.04,0.6468,0.1,3.736,0
17,other,easy,conceptual,qwen2-math,Baseline,0.0037,0.0714,0.6141,1.0,4.993,0
18,geometry,easy,computational,qwen2-math,Baseline,0.0255,0.1219,0.677,1.0,11.285,0
19,algebra,medium,computational,qwen2-math,Baseline,0.005,0.0582,0.7259,1.0,38.88,0
0,geometry,medium,computational,qwen2-math,RAG,0.0239,0.169,0.7388,1.0,19.42,5
1,algebra,medium,computational,qwen2-math,RAG,0.0043,0.0641,0.6313,0.8,10.707,5
2,other,medium,computational,qwen2-math,RAG,0.0037,0.1415,0.751,1.0,44.206,5
3,other,easy,conceptual,qwen2-math,RAG,0.0071,0.0335,0.6507,0.85,8.851,5
4,geometry,easy,conceptual,qwen2-math,RAG,0.0011,0.0081,0.5075,0.8,10.491,5
5,other,easy,conceptual,qwen2-math,RAG,0.0016,0.0236,0.6446,1.0,29.309,5
6,algebra,hard,proof,qwen2-math,RAG,0.0033,0.0987,0.7431,1.0,13.237,5
7,geometry,hard,proof,qwen2-math,RAG,0.0127,0.1007,0.7272,0.8,10.369,5
8,geometry,easy,computational,qwen2-math,RAG,0.0214,0.1224,0.697,1.0,8.673,5
9,algebra,easy,computational,qwen2-math,RAG,0.0216,0.0571,0.75,1.0,17.891,5
10,geometry,hard,proof,qwen2-math,RAG,0.0031,0.0889,0.6511,1.0,9.021,5
11,geometry,medium,computational,qwen2-math,RAG,0.0159,0.071,0.7268,1.0,19.054,5
12,word_problems,medium,computational,qwen2-math,RAG,0.0651,0.2155,0.7784,0.8,45.148,5
13,algebra,easy,conceptual,qwen2-math,RAG,0.0044,0.0601,0.7001,0.8,17.356,5
14,algebra,medium,computational,qwen2-math,RAG,0.047,0.1699,0.7023,0.85,8.389,5
15,geometry,hard,proof,qwen2-math,RAG,0.0067,0.1642,0.7097,0.8,9.576,5
16,word_problems,easy,conceptual,qwen2-math,RAG,0.0004,0.0083,0.5689,0.8,39.404,5
17,other,easy,conceptual,qwen2-math,RAG,0.0027,0.0402,0.5982,0.85,9.996,5
18,geometry,easy,computational,qwen2-math,RAG,0.025,0.1176,0.6709,1.0,10.549,5
19,algebra,medium,computational,qwen2-math,RAG,0.0042,0.0779,0.7036,1.0,21.691,5
0,geometry,medium,computational,gemini-2.5-flash,Baseline,0.0121,0.086,0.6727,0.2,6.051,0
1,algebra,medium,computational,gemini-2.5-flash,Baseline,0.0598,0.1404,0.8062,0.0,5.603,0
2,other,medium,computational,gemini-2.5-flash,Baseline,0.006,0.0787,0.6872,0.0,5.76,0
3,other,easy,conceptual,gemini-2.5-flash,Baseline,0.0681,0.1333,0.7498,0.0,6.437,0
4,geometry,easy,conceptual,gemini-2.5-flash,Baseline,0.0174,0.1143,0.6823,0.1,6.005,0
5,other,easy,conceptual,gemini-2.5-flash,Baseline,0.2974,0.4889,0.8501,0.1,6.724,0
6,algebra,hard,proof,gemini-2.5-flash,Baseline,0.0102,0.0,0.6583,0.0,5.064,0
7,geometry,hard,proof,gemini-2.5-flash,Baseline,0.0125,0.12,0.7081,0.0,6.129,0
8,geometry,easy,computational,gemini-2.5-flash,Baseline,0.0886,0.3415,0.7753,0.45,4.993,0
9,algebra,easy,computational,gemini-2.5-flash,Baseline,0.0747,0.1224,0.7759,0.65,5.998,0
10,geometry,hard,proof,gemini-2.5-flash,Baseline,0.1766,0.3902,0.7696,0.0,6.09,0
11,geometry,medium,computational,gemini-2.5-flash,Baseline,0.1972,0.2623,0.773,0.2,5.809,0
12,word_problems,medium,computational,gemini-2.5-flash,Baseline,0.0011,0.0506,0.6282,0.2,5.529,0
13,algebra,easy,conceptual,gemini-2.5-flash,Baseline,0.02,0.1891,0.7457,0.8,6.206,0
14,algebra,medium,computational,gemini-2.5-flash,Baseline,0.2179,0.2674,0.8101,0.8,5.75,0
15,geometry,hard,proof,gemini-2.5-flash,Baseline,0.03,0.2143,0.7486,0.0,6.408,0
16,word_problems,easy,conceptual,gemini-2.5-flash,Baseline,0,0.0,0.6787,0.2,6.825,0
17,other,easy,conceptual,gemini-2.5-flash,Baseline,0,0.0,0.593,0.1,6.87,0
18,geometry,easy,computational,gemini-2.5-flash,Baseline,0.2274,0.3226,0.7946,0.45,6.105,0
19,algebra,medium,computational,gemini-2.5-flash,Baseline,0.0671,0.1923,0.7246,0.35,5.625,0
0,geometry,medium,computational,gemini-2.5-flash,RAG,0.0102,0.1031,0.6658,0.35,6.233,5
1,algebra,medium,computational,gemini-2.5-flash,RAG,0.0084,0.0,0.6744,0.0,0.0,5
2,other,medium,computational,gemini-2.5-flash,RAG,0.0076,0.0492,0.6763,0.2,9.232,5
3,other,easy,conceptual,gemini-2.5-flash,RAG,0.1561,0.2667,0.7963,0.0,5.964,5
4,geometry,easy,conceptual,gemini-2.5-flash,RAG,0.013,0.0429,0.6903,0.45,4.514,5
5,other,easy,conceptual,gemini-2.5-flash,RAG,0.0064,0.0,0.6412,0.0,0.0,5
6,algebra,hard,proof,gemini-2.5-flash,RAG,0.0241,0.1481,0.7422,0.0,5.001,5
7,geometry,hard,proof,gemini-2.5-flash,RAG,0.0129,0.1429,0.7529,0.1,9.048,5
8,geometry,easy,computational,gemini-2.5-flash,RAG,0.0776,0.189,0.7481,1.0,5.521,5
9,algebra,easy,computational,gemini-2.5-flash,RAG,0.0535,0.1579,0.7534,0.35,5.814,5
10,geometry,hard,proof,gemini-2.5-flash,RAG,0.0084,0.05,0.661,0.0,0.0,5
11,geometry,medium,computational,gemini-2.5-flash,RAG,0.0851,0.4068,0.8232,0.4,6.184,5
12,word_problems,medium,computational,gemini-2.5-flash,RAG,0.0035,0.0881,0.6446,0.35,5.547,5
13,algebra,easy,conceptual,gemini-2.5-flash,RAG,0.1358,0.4444,0.8365,0.1,5.848,5
14,algebra,medium,computational,gemini-2.5-flash,RAG,0.1748,0.2824,0.8334,0.8,10.474,5
15,geometry,hard,proof,gemini-2.5-flash,RAG,0.0234,0.1562,0.7707,0.1,14.756,5
16,word_problems,easy,conceptual,gemini-2.5-flash,RAG,0.2736,0.4762,0.8657,0.25,6.711,5
17,other,easy,conceptual,gemini-2.5-flash,RAG,0.0569,0.1316,0.6983,0.3,3.5,5
18,geometry,easy,computational,gemini-2.5-flash,RAG,0.0661,0.186,0.7354,1.0,5.207,5
19,algebra,medium,computational,gemini-2.5-flash,RAG,0.0751,0.1379,0.6871,0.15,5.144,5
0,geometry,medium,computational,tinyllama,Baseline,0.0854,0.2749,0.8241,1.0,5.526,0
1,algebra,medium,computational,tinyllama,Baseline,0.0378,0.1341,0.6991,1.0,6.51,0
2,other,medium,computational,tinyllama,Baseline,0.1645,0.3328,0.8858,0.8,6.444,0
3,other,easy,conceptual,tinyllama,Baseline,0.0042,0.0102,0.6704,1.0,6.06,0
4,geometry,easy,conceptual,tinyllama,Baseline,0.0057,0.0174,0.6705,0.8,3.966,0
5,other,easy,conceptual,tinyllama,Baseline,0.0049,0.0848,0.6744,1.0,3.14,0
6,algebra,hard,proof,tinyllama,Baseline,0.0154,0.0738,0.7972,0.8,6.087,0
7,geometry,hard,proof,tinyllama,Baseline,0.0242,0.0655,0.7398,0.8,6.151,0
8,geometry,easy,computational,tinyllama,Baseline,0.0159,0.0771,0.699,1.0,4.06,0
9,algebra,easy,computational,tinyllama,Baseline,0.0542,0.1111,0.8299,1.0,3.542,0
10,geometry,hard,proof,tinyllama,Baseline,0.0008,0.0148,0.6469,0.6,6.319,0
11,geometry,medium,computational,tinyllama,Baseline,0.0805,0.2346,0.7651,1.0,3.332,0
12,word_problems,medium,computational,tinyllama,Baseline,0.1033,0.2966,0.8303,0.8,4.986,0
13,algebra,easy,conceptual,tinyllama,Baseline,0.0037,0.0484,0.7162,0.6,6.067,0
14,algebra,medium,computational,tinyllama,Baseline,0.2296,0.309,0.8541,1.0,5.921,0
15,geometry,hard,proof,tinyllama,Baseline,0.0046,0.0317,0.688,0.8,6.089,0
16,word_problems,easy,conceptual,tinyllama,Baseline,0.0014,0.0167,0.6187,1.0,4.521,0
17,other,easy,conceptual,tinyllama,Baseline,0.0126,0.0952,0.7134,0.5,2.56,0
18,geometry,easy,computational,tinyllama,Baseline,0.0418,0.1376,0.7553,1.0,3.232,0
19,algebra,medium,computational,tinyllama,Baseline,0.1179,0.218,0.8666,0.8,5.668,0
0,geometry,medium,computational,tinyllama,RAG,0.0832,0.2147,0.8131,0.8,6.402,5
1,algebra,medium,computational,tinyllama,RAG,0.005,0.0406,0.6592,1.0,6.81,5
2,other,medium,computational,tinyllama,RAG,0.0399,0.1408,0.7573,0.8,5.548,5
3,other,easy,conceptual,tinyllama,RAG,0.0041,0.0181,0.6636,1.0,6.854,5
4,geometry,easy,conceptual,tinyllama,RAG,0.0012,0.0196,0.516,0.8,6.94,5
5,other,easy,conceptual,tinyllama,RAG,0.0025,0.0263,0.6184,1.0,5.232,5
6,algebra,hard,proof,tinyllama,RAG,0.0194,0.4444,0.8604,0.85,2.835,5
7,geometry,hard,proof,tinyllama,RAG,0.0564,0.1329,0.7977,0.8,6.549,5
8,geometry,easy,computational,tinyllama,RAG,0.0496,0.1852,0.7455,1.0,3.198,5
9,algebra,easy,computational,tinyllama,RAG,0.2122,0.3333,0.8222,0.15,2.742,5
10,geometry,hard,proof,tinyllama,RAG,0.0108,0.0364,0.7063,1.0,6.524,5
11,geometry,medium,computational,tinyllama,RAG,0.0205,0.0995,0.7918,0.8,6.804,5
12,word_problems,medium,computational,tinyllama,RAG,0.136,0.3066,0.8269,0.8,4.966,5
13,algebra,easy,conceptual,tinyllama,RAG,0.0071,0.1008,0.6965,1.0,5.433,5
14,algebra,medium,computational,tinyllama,RAG,0.0442,0.2352,0.7552,0.8,5.802,5
15,geometry,hard,proof,tinyllama,RAG,0.0516,0.1493,0.7662,0.8,5.337,5
16,word_problems,easy,conceptual,tinyllama,RAG,0.0011,0.0183,0.5864,0.8,5.361,5
17,other,easy,conceptual,tinyllama,RAG,0.002,0.0262,0.6226,0.8,4.793,5
18,geometry,easy,computational,tinyllama,RAG,0.0961,0.2885,0.7939,1.0,3.023,5
19,algebra,medium,computational,tinyllama,RAG,0.0226,0.1732,0.8082,1.0,3.93,5
0,geometry,medium,computational,phi3-mini,Baseline,0.0275,0.148,0.7971,0.8,15.126,0
1,algebra,medium,computational,phi3-mini,Baseline,0.0027,0.0501,0.666,1.0,10.859,0
2,other,medium,computational,phi3-mini,Baseline,0.0095,0.1289,0.7528,1.0,11.534,0
3,other,easy,conceptual,phi3-mini,Baseline,0.0059,0.0182,0.6656,1.0,6.759,0
4,geometry,easy,conceptual,phi3-mini,Baseline,0.0047,0.0155,0.6086,1.0,8.904,0
5,other,easy,conceptual,phi3-mini,Baseline,0.0034,0.0446,0.6667,1.0,8.546,0
6,algebra,hard,proof,phi3-mini,Baseline,0.0042,0.0635,0.7617,1.0,12.886,0
7,geometry,hard,proof,phi3-mini,Baseline,0.0141,0.053,0.7327,1.0,9.746,0
8,geometry,easy,computational,phi3-mini,Baseline,0.0195,0.1466,0.7228,0.8,5.977,0
9,algebra,easy,computational,phi3-mini,Baseline,0.0275,0.0461,0.7419,1.0,10.835,0
10,geometry,hard,proof,phi3-mini,Baseline,0.0091,0.0948,0.7306,0.8,5.57,0
11,geometry,medium,computational,phi3-mini,Baseline,0.0421,0.1966,0.7827,0.5,6.386,0
12,word_problems,medium,computational,phi3-mini,Baseline,0.0364,0.1463,0.7822,0.8,13.709,0
13,algebra,easy,conceptual,phi3-mini,Baseline,0.0023,0.0382,0.6863,1.0,12.072,0
14,algebra,medium,computational,phi3-mini,Baseline,0.0661,0.1768,0.8192,1.0,11.768,0
15,geometry,hard,proof,phi3-mini,Baseline,0.0293,0.1023,0.7576,1.0,6.688,0
16,word_problems,easy,conceptual,phi3-mini,Baseline,0.0017,0.018,0.6482,1.0,12.379,0
17,other,easy,conceptual,phi3-mini,Baseline,0.0035,0.0327,0.6254,1.0,6.274,0
18,geometry,easy,computational,phi3-mini,Baseline,0.0225,0.09,0.7127,1.0,8.664,0
19,algebra,medium,computational,phi3-mini,Baseline,0.0506,0.113,0.7987,1.0,12.572,0
0,geometry,medium,computational,phi3-mini,RAG,0.0271,0.1118,0.7801,0.8,16.104,5
1,algebra,medium,computational,phi3-mini,RAG,0.0043,0.0708,0.6346,1.0,6.73,5
2,other,medium,computational,phi3-mini,RAG,0.0066,0.077,0.7349,1.0,15.647,5
3,other,easy,conceptual,phi3-mini,RAG,0.0046,0.0189,0.6496,1.0,11.183,5
4,geometry,easy,conceptual,phi3-mini,RAG,0.0034,0.0225,0.5377,1.0,5.424,5
5,other,easy,conceptual,phi3-mini,RAG,0.0015,0.0196,0.634,1.0,15.713,5
6,algebra,hard,proof,phi3-mini,RAG,0.0024,0.0408,0.7184,1.0,15.802,5
7,geometry,hard,proof,phi3-mini,RAG,0.002,0.0395,0.7044,1.0,15.806,5
8,geometry,easy,computational,phi3-mini,RAG,0.0039,0.0464,0.7361,1.0,14.838,5
9,algebra,easy,computational,phi3-mini,RAG,0.0045,0.0117,0.7002,0.8,15.802,5
10,geometry,hard,proof,phi3-mini,RAG,0.0009,0.0129,0.6615,1.0,13.723,5
11,geometry,medium,computational,phi3-mini,RAG,0.0041,0.05,0.6613,0.65,13.099,5
12,word_problems,medium,computational,phi3-mini,RAG,0.0053,0.1108,0.7618,1.0,15.536,5
13,algebra,easy,conceptual,phi3-mini,RAG,0.0019,0.0292,0.6938,1.0,15.561,5
14,algebra,medium,computational,phi3-mini,RAG,0.0131,0.1292,0.7004,0.8,8.109,5
15,geometry,hard,proof,phi3-mini,RAG,0.0094,0.1026,0.6982,0.1,3.271,5
16,word_problems,easy,conceptual,phi3-mini,RAG,0.0015,0.0121,0.6681,0.8,15.134,5
17,other,easy,conceptual,phi3-mini,RAG,0.0008,0.0061,0.5969,1.0,15.686,5
18,geometry,easy,computational,phi3-mini,RAG,0.0021,0.0303,0.6448,0.8,14.566,5
19,algebra,medium,computational,phi3-mini,RAG,0.0051,0.0386,0.6552,1.0,14.66,5
0,geometry,medium,computational,mistral-7b,Baseline,0.0532,0.2255,0.8069,1.0,13.628,0
1,algebra,medium,computational,mistral-7b,Baseline,0.0101,0.0809,0.6817,1.0,14.98,0
2,other,medium,computational,mistral-7b,Baseline,0.0153,0.1799,0.7815,1.0,15.013,0
3,other,easy,conceptual,mistral-7b,Baseline,0.0089,0.0375,0.6704,0.8,7.338,0
4,geometry,easy,conceptual,mistral-7b,Baseline,0.0052,0.0183,0.6253,1.0,10.971,0
5,other,easy,conceptual,mistral-7b,Baseline,0.0049,0.0847,0.6354,0.8,7.409,0
6,algebra,hard,proof,mistral-7b,Baseline,0.0033,0.0764,0.7786,1.0,15.033,0
7,geometry,hard,proof,mistral-7b,Baseline,0.0379,0.0921,0.7505,1.0,12.881,0
8,geometry,easy,computational,mistral-7b,Baseline,0.0342,0.1633,0.7194,0.8,6.95,0
9,algebra,easy,computational,mistral-7b,Baseline,0.0775,0.1134,0.8097,0.7,12.713,0
10,geometry,hard,proof,mistral-7b,Baseline,0.0179,0.0896,0.7269,1.0,8.674,0
11,geometry,medium,computational,mistral-7b,Baseline,0.0225,0.1013,0.7152,1.0,17.726,0
12,word_problems,medium,computational,mistral-7b,Baseline,0.0698,0.2349,0.7807,0.8,18.414,0
13,algebra,easy,conceptual,mistral-7b,Baseline,0.0102,0.0601,0.6858,0.6,14.559,0
14,algebra,medium,computational,mistral-7b,Baseline,0.2974,0.2749,0.8271,0.8,9.721,0
15,geometry,hard,proof,mistral-7b,Baseline,0.0198,0.0864,0.7461,1.0,15.727,0
16,word_problems,easy,conceptual,mistral-7b,Baseline,0.0036,0.0217,0.6529,0.8,15.642,0
17,other,easy,conceptual,mistral-7b,Baseline,0.0075,0.0535,0.6575,1.0,7.036,0
18,geometry,easy,computational,mistral-7b,Baseline,0.0448,0.1463,0.7319,1.0,7.698,0
19,algebra,medium,computational,mistral-7b,Baseline,0.0238,0.092,0.8025,1.0,19.401,0
0,geometry,medium,computational,mistral-7b,RAG,0.0481,0.1941,0.8225,0.8,14.871,5
1,algebra,medium,computational,mistral-7b,RAG,0.0218,0.1818,0.6834,0.8,18.974,5
2,other,medium,computational,mistral-7b,RAG,0.04,0.2185,0.7897,0.8,19.848,5
3,other,easy,conceptual,mistral-7b,RAG,0.0129,0.0496,0.6951,1.0,7.294,5
4,geometry,easy,conceptual,mistral-7b,RAG,0.0101,0.0323,0.6697,0.8,8.402,5
5,other,easy,conceptual,mistral-7b,RAG,0.0352,0.0812,0.6914,0.8,11.32,5
6,algebra,hard,proof,mistral-7b,RAG,0.0101,0.1593,0.813,1.0,11.269,5
7,geometry,hard,proof,mistral-7b,RAG,0.0479,0.1127,0.7761,1.0,13.33,5
8,geometry,easy,computational,mistral-7b,RAG,0.0363,0.1751,0.7539,1.0,8.51,5
9,algebra,easy,computational,mistral-7b,RAG,0.0532,0.0821,0.7956,0.8,16.714,5
10,geometry,hard,proof,mistral-7b,RAG,0.0193,0.1125,0.7338,1.0,8.13,5
11,geometry,medium,computational,mistral-7b,RAG,0.0305,0.1401,0.7453,0.8,10.577,5
12,word_problems,medium,computational,mistral-7b,RAG,0.169,0.3354,0.8264,0.8,19.74,5
13,algebra,easy,conceptual,mistral-7b,RAG,0.0103,0.1081,0.7182,0.8,10.385,5
14,algebra,medium,computational,mistral-7b,RAG,0.0375,0.1988,0.7315,0.8,18.773,5
15,geometry,hard,proof,mistral-7b,RAG,0.0817,0.2475,0.7931,1.0,8.807,5
16,word_problems,easy,conceptual,mistral-7b,RAG,0.001,0.0166,0.6082,0.8,20.06,5
17,other,easy,conceptual,mistral-7b,RAG,0.0052,0.0412,0.6501,0.8,10.854,5
18,geometry,easy,computational,mistral-7b,RAG,0.0509,0.173,0.746,1.0,8.291,5
19,algebra,medium,computational,mistral-7b,RAG,0.0235,0.1328,0.8072,0.8,19.255,5
