test_id,difficulty,question_type,visual_required,condition,condition_label,bleu,rouge_l,bertscore,step_correctness,latency_sec,n_contexts,mean_sim
11,medium,computational,False,text_only,Text Only,0.03,0.1433,0.7035,1.0,4.74,5,0.7857
87,medium,computational,False,text_only,Text Only,0.034,0.13,0.7201,1.0,7.48,5,0.7813
15,hard,proof,False,text_only,Text Only,0.0059,0.1096,0.7024,1.0,5.739,5,0.6984
25,hard,conceptual,False,text_only,Text Only,0.2623,0.39,0.8295,0.6,4.827,5,0.7119
39,hard,conceptual,False,text_only,Text Only,0.042,0.1831,0.754,1.0,6.738,5,0.6577
42,hard,proof,False,text_only,Text Only,0.0652,0.2265,0.7702,0.8,6.166,5,0.515
47,hard,proof,False,text_only,Text Only,0.0236,0.1407,0.7222,0.8,3.831,5,0.5866
4,easy,conceptual,False,text_only,Text Only,0.0018,0.0127,0.5782,0.8,5.021,5,0.2269
18,easy,computational,False,text_only,Text Only,0.0261,0.1298,0.6789,0.8,3.655,5,0.6855
93,hard,proof,False,text_only,Text Only,0.0141,0.2394,0.7159,0.8,3.888,5,0.5765
54,medium,computational,False,text_desc,Text + Diagram Desc (Equal),0.147,0.4155,0.7577,1.0,10.43,5,0.5741
36,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0079,0.1359,0.705,0.8,4.739,5,0.4694
62,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0209,0.103,0.7125,0.8,5.493,5,0.4788
90,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.029,0.1043,0.7033,1.0,5.399,5,0.4175
91,medium,computational,False,text_desc,Text + Diagram Desc (Equal),0.0345,0.1538,0.7146,0.8,6.054,5,0.756
68,easy,computational,False,text_desc,Text + Diagram Desc (Equal),0.0117,0.0466,0.6632,0.8,5.854,5,0.5782
38,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.3886,0.5524,0.8506,0.8,4.879,5,0.4864
60,medium,computational,False,text_desc,Text + Diagram Desc (Equal),0.0223,0.1072,0.6866,1.0,5.189,5,0.6237
51,hard,conceptual,False,text_desc,Text + Diagram Desc (Equal),0.1203,0.3069,0.8132,1.0,5.901,5,0.5585
55,easy,conceptual,False,text_desc,Text + Diagram Desc (Equal),0.0026,0.015,0.6203,0.8,7.797,5,0.533
73,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0395,0.1382,0.715,0.8,4.118,5,0.547
97,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0052,0.0681,0.7461,1.0,7.199,5,0.5447
0,medium,computational,False,text_desc,Text + Diagram Desc (Equal),0.0168,0.1843,0.751,0.8,9.119,5,0.7457
50,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0085,0.1507,0.6951,0.8,5.648,5,0.5253
46,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.003,0.0883,0.7059,1.0,7.121,5,0.4408
95,medium,conceptual,False,text_desc,Text + Diagram Desc (Equal),0.0668,0.2098,0.7523,0.8,3.771,5,0.6831
89,medium,computational,False,text_desc,Text + Diagram Desc (Equal),0.0705,0.1994,0.7437,1.0,4.435,5,0.5133
81,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0342,0.1022,0.7286,1.0,5.927,5,0.4329
94,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0094,0.1576,0.7102,0.8,3.858,5,0.5255
7,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0068,0.1111,0.7051,1.0,3.27,5,0.5119
67,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0214,0.1299,0.7566,0.8,5.406,5,0.613
11,medium,computational,False,text_desc,Text + Diagram Desc (Equal),0.0295,0.1369,0.7018,1.0,6.895,5,0.605
87,medium,computational,False,text_desc,Text + Diagram Desc (Equal),0.0304,0.1174,0.7117,1.0,5.134,5,0.75
15,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0065,0.122,0.7172,0.6,4.506,5,0.5108
25,hard,conceptual,False,text_desc,Text + Diagram Desc (Equal),0.2092,0.3527,0.8216,0.8,5.288,5,0.6981
39,hard,conceptual,False,text_desc,Text + Diagram Desc (Equal),0.0287,0.1493,0.7449,0.6,6.765,5,0.4895
42,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.0626,0.2128,0.7741,0.6,5.982,5,0.3971
47,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.021,0.1061,0.7148,0.8,3.5,5,0.4188
4,easy,conceptual,False,text_desc,Text + Diagram Desc (Equal),0.0041,0.0184,0.5178,1.0,5.633,5,0.2212
18,easy,computational,False,text_desc,Text + Diagram Desc (Equal),0.0298,0.1478,0.6742,1.0,3.223,5,0.6218
93,hard,proof,False,text_desc,Text + Diagram Desc (Equal),0.006,0.1534,0.6971,1.0,5.353,5,0.4815
54,medium,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0884,0.292,0.7391,0.8,5.111,5,0.5741
36,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0101,0.1731,0.7049,1.0,3.891,5,0.4694
62,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0221,0.0854,0.7279,1.0,3.851,5,0.4788
90,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0319,0.1168,0.6948,1.0,4.238,5,0.4175
91,medium,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0291,0.1207,0.7152,0.8,7.554,5,0.756
68,easy,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0174,0.064,0.6559,0.8,5.442,5,0.5782
38,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.3194,0.4978,0.8406,0.6,4.423,5,0.4864
60,medium,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0146,0.0827,0.6737,1.0,5.35,5,0.6237
51,hard,conceptual,False,text_clip_desc,Text + Desc + CLIP (Equal),0.1018,0.2521,0.8271,0.8,13.208,5,0.5585
55,easy,conceptual,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0028,0.0162,0.6176,0.8,6.095,5,0.533
73,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0316,0.1223,0.6978,0.8,3.705,5,0.547
97,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0192,0.0934,0.7255,1.0,7.315,5,0.5447
0,medium,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0176,0.1963,0.7495,0.8,6.719,5,0.7457
50,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0103,0.1648,0.694,1.0,5.173,5,0.5253
46,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0039,0.1189,0.7002,1.0,4.465,5,0.4408
95,medium,conceptual,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0722,0.2053,0.7516,0.8,4.919,5,0.6831
89,medium,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0512,0.1932,0.7317,0.8,4.698,5,0.5133
81,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0377,0.1168,0.7226,1.0,4.951,5,0.4329
94,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0065,0.1261,0.6992,0.8,4.338,5,0.5255
7,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0044,0.0996,0.7022,1.0,4.637,5,0.5119
67,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.02,0.1371,0.7551,0.8,6.147,5,0.613
11,medium,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0297,0.1451,0.7029,0.8,7.158,5,0.605
87,medium,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0273,0.1176,0.7319,1.0,6.357,5,0.75
15,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0056,0.1292,0.7083,0.8,8.639,5,0.5108
25,hard,conceptual,False,text_clip_desc,Text + Desc + CLIP (Equal),0.1446,0.2304,0.8119,0.6,10.468,5,0.6981
39,hard,conceptual,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0438,0.14,0.772,1.0,6.967,5,0.4895
42,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0708,0.234,0.7814,0.6,4.92,5,0.3971
47,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0252,0.1321,0.7182,1.0,2.771,5,0.4188
4,easy,conceptual,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0018,0.0112,0.5796,1.0,6.791,5,0.2212
18,easy,computational,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0298,0.1405,0.6778,0.8,5.402,5,0.6218
93,hard,proof,False,text_clip_desc,Text + Desc + CLIP (Equal),0.0068,0.137,0.6907,1.0,7.26,5,0.4815
54,medium,computational,False,text_learned,Text + Desc + CLIP (Learned),0.0847,0.2881,0.7218,1.0,9.686,5,0.5631
36,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.004,0.1279,0.7075,0.8,5.462,5,0.4528
62,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0221,0.0956,0.7222,0.8,3.754,5,0.4788
90,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0332,0.1153,0.7048,1.0,3.759,5,0.3302
91,medium,computational,False,text_learned,Text + Desc + CLIP (Learned),0.0272,0.1257,0.7174,1.0,7.38,5,0.756
68,easy,computational,False,text_learned,Text + Desc + CLIP (Learned),0.0132,0.0643,0.6506,0.8,5.005,5,0.5782
38,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.4056,0.5982,0.851,0.6,5.295,5,0.4307
60,medium,computational,False,text_learned,Text + Desc + CLIP (Learned),0.0205,0.088,0.6808,1.0,9.674,5,0.6237
51,hard,conceptual,False,text_learned,Text + Desc + CLIP (Learned),0.1281,0.3043,0.808,0.8,11.251,5,0.5576
55,easy,conceptual,False,text_learned,Text + Desc + CLIP (Learned),0.0013,0.0146,0.6165,0.8,6.876,5,0.533
73,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0324,0.1149,0.7101,0.8,4.606,5,0.547
97,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0046,0.0734,0.7012,0.8,5.853,5,0.5314
0,medium,computational,False,text_learned,Text + Desc + CLIP (Learned),0.0238,0.1907,0.7478,0.8,6.417,5,0.7457
50,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0102,0.1622,0.7086,0.8,3.211,5,0.5144
46,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0051,0.0796,0.6995,1.0,5.754,5,0.4385
95,medium,conceptual,False,text_learned,Text + Desc + CLIP (Learned),0.0682,0.197,0.7574,0.8,6.917,5,0.6831
89,medium,computational,False,text_learned,Text + Desc + CLIP (Learned),0.0453,0.1813,0.7439,0.8,3.954,5,0.5133
81,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0401,0.1273,0.7328,1.0,4.542,5,0.3462
94,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0081,0.1172,0.7262,1.0,3.967,5,0.4626
7,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0075,0.1322,0.7088,0.8,3.458,5,0.5119
67,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.018,0.1226,0.7542,0.8,6.712,5,0.613
11,medium,computational,False,text_learned,Text + Desc + CLIP (Learned),0.0233,0.094,0.7094,1.0,6.791,5,0.6004
87,medium,computational,False,text_learned,Text + Desc + CLIP (Learned),0.0295,0.116,0.729,1.0,8.343,5,0.75
15,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0127,0.1027,0.7416,0.6,5.28,5,0.459
25,hard,conceptual,False,text_learned,Text + Desc + CLIP (Learned),0.21,0.3826,0.8253,0.6,6.139,5,0.6981
39,hard,conceptual,False,text_learned,Text + Desc + CLIP (Learned),0.0313,0.1562,0.7553,0.6,6.847,5,0.4614
42,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0703,0.2375,0.7831,0.6,6.63,5,0.3888
47,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0222,0.1053,0.7419,0.8,3.863,5,0.3974
4,easy,conceptual,False,text_learned,Text + Desc + CLIP (Learned),0.0072,0.08,0.6637,0.1,2.188,5,0.2212
18,easy,computational,False,text_learned,Text + Desc + CLIP (Learned),0.03,0.1538,0.6732,1.0,3.471,5,0.6218
93,hard,proof,False,text_learned,Text + Desc + CLIP (Learned),0.0096,0.1657,0.6968,0.8,5.283,5,0.4815
